epoch,grad_norm_max,grad_norm_mean,loss_dir,loss_huber,loss_mse,lr-Adam,step,test_loss,train_loss,val_loss
40,0.022892603650689125,0.005495899822562933,,,,,2609,,,
40,0.013660888187587261,0.003571744542568922,,,,,2619,,,
40,,,,,,,2623,,,0.11440902948379517
40,,,0.4976879358291626,0.0012417107354849577,0.0024834214709699154,,2623,,0.10115179419517517,
,,,,,,0.0008999424869143022,2624,,,
41,,,,,,,2687,,,0.19645503163337708
41,,,0.5206826329231262,0.0018721899250522256,0.003744379850104451,,2687,,0.10657040029764175,
,,,,,,0.0008951824286816577,2688,,,
42,,,,,,,2751,,,0.1389300376176834
42,,,0.5177270174026489,0.0013965608086436987,0.0027931216172873974,,2751,,0.10536091029644012,
,,,,,,0.0008903249884654961,2752,,,
43,,,,,,,2815,,,0.13328486680984497
43,,,0.5093974471092224,0.0010342837776988745,0.002068567555397749,,2815,,0.10322406888008118,
,,,,,,0.0008853713647665072,2816,,,
44,,,,,,,2879,,,0.12650543451309204
44,,,0.5177688002586365,0.0009301916579715908,0.0018603833159431815,,2879,,0.10476300120353699,
,,,,,,0.000880322779817216,2880,,,
45,,,,,,,2943,,,0.1268308460712433
45,,,0.5132917165756226,0.000698608928360045,0.00139721785672009,,2943,,0.10356657207012177,
,,,,,,0.0008751804792804151,2944,,,
46,,,,,,,3007,,,0.12207431346178055
46,,,0.5091255307197571,0.000643134699203074,0.001286269398406148,,3007,,0.10266119986772537,
,,,,,,0.000869945731941816,3008,,,
47,,,,,,,3071,,,0.13675689697265625
47,,,0.51941978931427,0.0007257217657752335,0.001451443531550467,,3071,,0.1048273891210556,
48,,,,,,,3072,0.26742425560951233,,
